Timestamp,Email Address,1. Age (in January 2025) ,2. Gender,3. Citizenship Status,4. What is your household's monthly income range?  ,5. Number of SPM subjects,6. Grades for each core SPM subjects  [Bahasa Melayu],6. Grades for each core SPM subjects  [Bahasa Inggeris],6. Grades for each core SPM subjects  [Sejarah],6. Grades for each core SPM subjects  [Matematik],"7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Islam]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Moral]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Matematik Tambahan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Fizik]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Kimia]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Biologi]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Prinsip Perakaunan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Ekonomi]",8. PAJSK Score (range: 0.00 – 10.00),"9. Top 5 Co-curricular Highest Achievements

Example:
- Gold Medalist in the International Mathematics Olympiad (IMO) 2023
- President of the Science & Innovation Club, Organized National STEM Fair 2022
- Captain of the State Football Team, Represented Malaysia in ASEAN Youth Championship
(Please continue in this format until you have listed 5 achievements.)","10. What is your CGPA for your pre-university program?
(e.g., Diploma, Foundation, Matrikulasi, or STPM)

Example: 
3.96","11. What is your CGPA for your first semester in degree study? 

Example: 
3.96  ",12. What is your current field of study?,"13. Are you currently receiving a merit-based scholarship (not a loan or PTPTN)?
(e.g., JPA, university excellence scholarship, state foundation scholarships, etc)"
5/3/2025 22:18,,22,Female,Malaysian,"RM10,971 – RM15,040",9,C+,B,B+,B,B+,None,B,A,A,B,None,None,5.84, - Member of Chess Club,2.82,2.71,Computer Science & Information Technology,No
5/3/2025 22:20,,23,Female,Malaysian,"RM10,971 – RM15,040",11,A+,A-,A,A+,A,None,A+,A-,A,B+,A,A-,8.99,"- Winner of the International Science and Engineering Fair (ISEF) Regional 2023 
- Vice President of IT Club, Initiated Tech for Good Hackathon 2022 
- Head Organizer of Inter-School Innovation Competition 2023 
- Striker for State Football Team, Qualified for Asian Junior Cup 
- Selected for National Research Scholars Program 2023",3.96,3.86,Economics / Public Policy,Yes
5/4/2025 11:33,,21,Male,Malaysian,"RM4,851 – RM7,100",10,B,B+,A-,A-,A+,None,A,A-,B,A-,None,A+,9.28,"-Champion of the National Science Quiz 2023 
- President of the Environmental Club, Organized Green Innovation Fair 2022 
- Coordinated District Technology Expo 2023 as Project Head 
- Captain of the District Volleyball Team, Runner-up at National Youth Games 
- Selected for International Youth Leadership Camp 2022
",3.58,3.79,Accounting,Yes
5/4/2025 11:36,,23,Male,Malaysian,"RM7,101 – RM10,970",9,A-,A,A+,B,None,A+,None,A+,None,B,B,A,9.41,"
- First Place in Malaysia Young Entrepreneurs Challenge 2022 
- Secretary of the Debate Club, Organized State Debate Tournament 2023 
- Led Regional Environmental Awareness Week 2022 
- Represented State in the National Hockey Championship 
- Selected for ASEAN Future Leaders Exchange Program 2023
",3.61,3.86,Engineering,Yes
5/4/2025 11:38,,21,Male,Malaysian,"Above RM15,040",11,A+,B+,A,A-,B+,None,A+,A,A+,B+,B,B+,8.46,"- Winner of the International Science and Engineering Fair (ISEF) Regional 2023 
- Vice President of IT Club, Initiated Tech for Good Hackathon 2022 
- Head Organizer of Inter-School Innovation Competition 2023 
- Striker for State Football Team, Qualified for Asian Junior Cup 
- Selected for National Research Scholars Program 2023
",3.73,3.69,Actuarial Science / Statistics,Yes
5/4/2025 11:41,,21,Female,Malaysian,"Above RM15,040",8,A,A-,A,A+,None,A,A-,None,None,A+,None,A+,8.54,"- Gold Medalist in National Mathematics Olympiad 2022 
- Vice President of Innovation Society, Hosted Invention Expo 2023 
- Organized STEM Outreach for Rural Schools 2022 
- Represented State in National Swimming Championships 
- Selected Participant for National Space Camp 2023",3.6,3.98,Economics / Public Policy,Yes
5/4/2025 11:43,,22,Female,Malaysian,"RM10,971 – RM15,040",8,A,A,A+,B,A,None,A,None,None,A-,A+,None,8.64,"- Winner of the National App Development Challenge 2022 
- Treasurer of Young Scientists Club, Managed Regional Science Fair 2023 
- Co-organized National Junior Robotics Championship 2022 
- Goalkeeper of State Futsal Team, Bronze Medalist at Youth Cup 
- Selected for Youth Global Peace Summit 2023",3.77,3.64,Accounting,Yes
5/4/2025 11:46,,22,Female,Malaysian,"RM7,101 – RM10,970",11,A+,A-,B+,A,None,B,A+,B+,A,B+,A,A,8.54,"- Champion at State-level Physics Olympiad 2022 
- Secretary of Business Club, Directed Entrepreneurship Week 2023 
- Main Organizer for Technology and Innovation Day 2022 
- Team Captain for State Badminton Championship 2022 
- Selected Delegate for Global Young Inventors Forum 2023",3.73,3.61,Economics / Public Policy,Yes
5/4/2025 11:48,,21,Female,Malaysian,"RM7,101 – RM10,970",10,A,B+,A-,B,None,A-,A,A-,A-,B,B,None,9.27,"- Winner of Eco-Green National Challenge 2023 
- Vice President of Drama and Theatre Club, Organized Annual Theatre Festival 2022 
- Coordinator for Regional Sustainability Conference 2023 
- Forward Player for State Handball Team, Reached Semi-finals National Games 
- Selected for ASEAN Science Fellowship Program 2022",3.77,3.74,Economics / Public Policy,Yes
5/4/2025 11:51,,20,Female,Malaysian,"RM7,101 – RM10,970",11,B+,A+,A-,A-,None,A,B,B,A+,A-,A-,A,9.82,"- 1st Place at National Youth Public Speaking Championship 2022 
- President of Science and Innovation Club, Organized Science Exhibition 2023 
- Hosted Coding for Youth Bootcamp 2022 
- Defender for State Basketball Team, Participated in Southeast Asian Youth Games 
- Selected for National Youth Digital Leaders Program 2023
",3.6,3.6,Others,Yes
5/4/2025 11:52,,20,Female,Malaysian,"RM10,971 – RM15,040",9,A+,A-,A,A+,A+,None,None,A,B,A+,A,None,9.22,"- Gold Medalist at National Chemistry Olympiad 2022 
- Vice President of Mathematics Society, Led State Maths Carnival 2023 
- Organized Regional Junior Science Camp 2022 
- Represented State in National Track and Field Meet 
- Selected for Young Scientists Research Workshop 2023
",3.81,3.51,Science & Mathematics,Yes
5/4/2025 11:54,,21,Female,Malaysian,"RM10,971 – RM15,040",9,A-,A,B+,B+,None,A,B+,None,B,B,B+,None,9.57,"- Winner of Malaysia Young Innovators Award 2022 
- Secretary of AI Club, Organized Artificial Intelligence Week 2023 
- Directed State Robotics Challenge 2022 
- Captain of State Softball Team, Competed in National Youth Series 
- Selected for UNESCO Youth Innovation Program 2023
",3.72,3.85,"Business, Management & Finance",Yes
5/4/2025 11:56,,21,Male,Malaysian,"Below RM4,850",10,B+,A,A,A+,A-,None,None,A-,A+,A+,A+,A-,8.67,"- Winner of National Environmental Science Challenge 2022 
- Vice President of English Literature Club, Organized State Reading Carnival 2023 
- Coordinator for Inter-State Cultural Exchange Program 2022 
- Goalkeeper for State Hockey Team, Runner-up in National League 
- Selected for ASEAN Youth Science Forum 2023",3.61,3.62,Actuarial Science / Statistics,Yes
5/4/2025 11:58,,23,Female,Malaysian,"Above RM15,040",11,B,A-,A,B+,A+,None,B,B,A+,B,B,A,9.21,"- Gold Medalist in State Economics Olympiad 2022 
- Secretary of the Chess Club, Organized Chess Blitz Tournament 2023 
- Organized Regional Debate Open Championship 2022 
- Represented State at National Taekwondo Tournament 
- Selected Delegate for International Student Energy Summit 2023",3.88,3.62,Economics / Public Policy,Yes
5/4/2025 12:00,,21,Female,Malaysian,"RM10,971 – RM15,040",9,A,B+,B,A+,B+,None,B,None,A-,A,None,B+,9.31,"- Champion of State Science and Engineering Fair 2023 
- Treasurer of Visual Arts Club, Directed Annual Art Week 2022 
- Organizer of State Digital Innovation Challenge 2022 
- Lead Striker for State Rugby Team, Participated in Youth Games 2023 
- Selected for Global Youth Entrepreneurship Summit 2022",3.57,3.89,Science & Mathematics,Yes
5/4/2025 12:02,,20,Male,Malaysian,"RM7,101 – RM10,970",10,B,A,B+,A-,None,A+,A+,A+,B+,A+,None,B+,8.37,"- Winner of National Data Science Competition 2022 
- Vice President of Science Club, Hosted STEM Hackathon 2023 
- Organizer for National Young Technopreneurs Forum 2022 
- Team Captain for State Cricket Team, Competed in Junior League 2023 
- Selected for Asia-Pacific Future Leaders Camp 2022
",3.54,3.86,"Business, Management & Finance",Yes
5/4/2025 12:03,,21,Male,Malaysian,"RM4,851 – RM7,100",11,A,A+,A-,B,A-,None,B,A-,A+,A,A,A+,9.5,"- Gold Medalist at Malaysian Biology Olympiad 2022 
- Secretary of Engineering Society, Led National Robotics Week 2023 
- Organized Inter-District Engineering Challenge 2022 
- Represented State at Malaysia Youth Badminton Championship 
- Selected for National Astronaut Training Program 2023
",3.87,3.78,Accounting,Yes
5/4/2025 12:06,,21,Male,Malaysian,"RM4,851 – RM7,100",10,B+,A-,A,B+,A+,None,None,A,A+,B,B+,A+,8.89,"- Champion at National Innovation and Invention Expo 2023 
- President of Entrepreneurs Club, Hosted Startup Pitching Day 2022 
- Lead Organizer of Regional Youth Business Forum 2022 
- Vice Captain for State Netball Team, Competed in Malaysia Youth Cup 
- Selected Delegate for Global Peace and Innovation Summit 2022",3.99,3.8,Law / Legal Studies,Yes
5/4/2025 12:08,,23,Male,Malaysian,"RM4,851 – RM7,100",9,A-,B+,A+,A-,None,A+,None,B,B,B,A,None,9.8,"- Winner of Environmental Sustainability Challenge 2023 
- Secretary of Photography Club, Organized National Youth Photography Exhibition 2022 
- Organizer for Tech-for-Good Hackathon 2023 
- Forward for State Ultimate Frisbee Team, Regional Champion 
- Selected for ASEAN NextGen Scientists Conference 2022",3.59,3.9,Accounting,Yes
5/4/2025 12:11,,22,Female,Malaysian,"RM4,851 – RM7,100",10,B+,A,B+,B,A,None,A,None,A+,A-,B,A-,9.19,"- 1st Place in National Youth Leadership Debate 2022 
- Vice President of Cultural Society, Directed Multi-Cultural Fest 2023 
- Co-organized Science Olympiad Bootcamp 2022 
- Represented State at National Gymnastics Meet 
- Selected Participant for Malaysia Young Leaders Academy 2022",3.64,3.96,Law / Legal Studies,Yes
5/4/2025 12:13,,23,Male,Malaysian,"Above RM15,040",10,A-,A-,B,B,None,A-,A-,None,A,B,B+,A+,9.77,"- Gold Medalist in Junior Physics Olympiad 2023 
- President of Young Innovators Network, Organized State STEM Innovation Fair 2022 
- Organized Green Technology Summit 2022 
- Team Player in State Baseball Team, Qualified for National Series 
- Selected Delegate for Asia Youth Robotics League 2023
",3.94,3.88,"Business, Management & Finance",Yes
5/4/2025 12:14,,20,Male,Malaysian,"RM7,101 – RM10,970",11,A+,A+,A-,A-,A-,None,A-,A-,A,A,A+,A-,9.92,"- Winner of State Machine Learning Competition 2022 
- Treasurer of Media and Broadcasting Club, Led Journalism Week 2023 
- Hosted E-Sports Youth Championship 2022 
- Represented State in National Canoeing Championship 
- Selected for International Youth Research Program 2022
",3.88,3.5,"Business, Management & Finance",Yes
5/4/2025 12:18,,20,Male,Malaysian,"Above RM15,040",11,A+,B,A+,B,B,None,A-,B+,B+,A,A,A,9.79,"- Champion of National Junior Programming Contest 2023 
- Secretary of Aerospace Club, Organized State Rocketry Challenge 2022 
- Lead Organizer of National Cybersecurity Camp 2022 
- Goalkeeper for State Field Hockey Team, Competed in National Junior Cup 
- Selected for Young Diplomats Global Conference 2023
",3.59,3.58,Accounting,Yes
5/4/2025 12:23,,22,Female,Malaysian,"RM4,851 – RM7,100",10,A-,A,B,A,B,None,None,A+,B+,B+,A-,A-,9.07,"- First Place in Malaysia Youth Robotics Olympiad 2022 
- Vice President of Culinary Arts Club, Directed Food and Culture Festival 2023 
- Organized State Youth Digital Carnival 2022 
- Vice Captain of State Basketball Team, Quarter-Finalist in National Games 
- Selected for National Innovation and Sustainability Summit 2023
",3.53,3.77,Accounting,Yes
5/4/2025 12:24,,20,Female,Malaysian,"RM4,851 – RM7,100",9,B+,B+,B,A-,A,None,B,None,None,A-,A,B+,8.16,"- Winner of National Chemistry Innovation Competition 2023 
- President of Debate Society, Led State Debaters Open 2022 
- Coordinated Entrepreneurship Bootcamp 2022 
- Striker of State Rugby Sevens Team, Champion of Regional Games 
- Selected for ASEAN Future Inventors Program 2022
",3.62,3.9,Others,Yes
5/4/2025 12:26,,23,Male,Malaysian,"RM10,971 – RM15,040",10,B+,B,A+,B+,None,A-,None,A,B+,B,A+,A+,9.42,"- Gold Medalist at Junior Robotics National Finals 2022 
- Treasurer of Environmental Conservation Club, Hosted EcoTech Innovation Day 2023 
- Organizer for State Youth Science Forum 2022 
- Captain of State Volleyball Team, National Youth Champion 
- Selected for National Digital Innovation Academy 2023
",3.86,3.91,Engineering,Yes
5/4/2025 12:28,,23,Female,Malaysian,"RM7,101 – RM10,970",11,B+,A,A-,B,B+,None,B+,B,A-,B+,A,A+,9.33,"- Champion of State AI Innovation Hackathon 2022 
- Secretary of Mathematics Club, Organized National Math Challenge 2023 
- Main Organizer of National Youth Tech Showcase 2022 
- Midfielder of State Handball Team, Played in National Youth Series 
- Selected for International Youth Research Internship 2023
",3.61,3.59,Law / Legal Studies,Yes
5/4/2025 12:29,,20,Male,Malaysian,"Below RM4,850",11,B,B+,B+,A-,B,None,A,B,A,B+,A+,A,9.68,"- Winner of National Mobile App Development Contest 2023 
- Vice President of Law and Policy Club, Led Mock Parliament Program 2022 
- Hosted Legal Awareness Week 2022 
- Defender for State Football Team, Regional Cup Finalist 
- Selected for Global STEM Youth Leadership Academy 2022
",3.73,3.83,Economics / Public Policy,Yes
5/4/2025 12:31,,23,Male,Malaysian,"RM4,851 – RM7,100",8,A-,A-,A-,B+,A+,None,None,A+,None,B+,None,A+,9.12,"- First Place at Junior Data Analytics Challenge 2022 
- Treasurer of Performing Arts Society, Organized Inter-State Talent Show 2023 
- Co-Organizer for Regional EdTech Festival 2022 
- Represented State at National Athletics Meet 
- Selected for ASEAN Environmental Youth Fellowship 2023
",3.67,3.58,Actuarial Science / Statistics,Yes
5/4/2025 12:32,,23,Female,Malaysian,"Below RM4,850",9,A,A,A+,B+,None,B,None,B+,B,A,B,None,8.54,"- Gold Medalist in Malaysia Environmental Quiz 2022 
- President of Literature Club, Directed National Storytelling Competition 2023 
- Coordinated Science Discovery Workshop 2022 
- Represented State at National Archery Championship 
- Selected for National Young Entrepreneurs Leadership Program 2022
",3.64,3.79,Actuarial Science / Statistics,Yes
5/4/2025 12:34,,23,Male,Malaysian,"RM10,971 – RM15,040",9,B+,A-,A,A,B,None,A+,None,A,A,A,None,9.58,"- Champion at National Youth Creative Writing Competition 2023 
- Secretary of Film Club, Hosted State Short Film Festival 2022 
- Organized Innovation in Education Summit 2022 
- Wing Player for State Basketball Team, Regional Champion 2022 
- Selected for UNESCO Global Youth Innovation Program 2023
",3.84,3.64,Actuarial Science / Statistics,Yes
5/4/2025 12:37,,22,Female,Malaysian,"Below RM4,850",8,B,A+,A-,B,None,B+,A+,B,None,A-,None,None,8.19,"- Winner of Eco Sustainability Innovation Competition 2022 
- Vice President of Community Service Club, Hosted National Youth Service Week 2023 
- Lead Organizer of Youth Science Outreach Program 2022 
- Captain of State Baseball Team, Runner-up in Junior Nationals 
- Selected for Youth Climate Leaders Academy 2023
",3.59,3.64,Science & Mathematics,Yes
5/4/2025 12:39,,22,Female,Malaysian,"RM10,971 – RM15,040",10,A+,A+,A-,A-,None,A+,None,B+,B+,B+,B,A+,8.67,"- First Place at National Engineering Design Competition 2022 
- Treasurer of Astronomy Club, Organized Stargazing Night 2023 
- Co-organized Science & Space Tech Fair 2022 
- Represented State in National Cross-Country Meet 
- Selected for Global Innovation Exchange Program 2023
",3.53,3.8,Others,Yes
5/4/2025 12:41,,23,Female,Malaysian,"RM10,971 – RM15,040",9,B+,A+,B,B+,None,A+,None,A+,B+,B,A+,None,8.76,"- Winner of National Coding Sprint 2023 
- President of Young Leaders Club, Hosted Future Leadership Forum 2022 
- Organized Regional Youth Social Innovation Camp 2022 
- Captain of State Chess Team, Bronze Medalist at Nationals 
- Selected for International Robotics Exchange Program 2023
",3.71,3.75,"Business, Management & Finance",Yes
5/4/2025 12:42,,20,Female,Malaysian,"RM7,101 – RM10,970",8,A-,A-,B,A+,B,None,A,None,None,B+,None,A,9.71,"- Champion of Environmental Tech Design Challenge 2022 
- Vice President of International Affairs Club, Led Model United Nations 2023 
- Organizer for STEM Adventure Camp 2022 
- Team Member of State Fencing Team, Youth National Finalist 
- Selected for ASEAN Youth Digital Fellowship 2022
",3.81,3.78,Economics / Public Policy,Yes
5/4/2025 12:46,,23,Male,Malaysian,"Above RM15,040",11,A,B+,B,B,A,None,B,A+,A+,A-,A+,A-,8.16,"- Gold Medalist in National Junior Astronomy Olympiad 2022 
- Secretary of Young Entrepreneurs Network, Organized Startup Ideation Week 2023 
- Hosted Tech Empowerment Bootcamp 2022 
- Striker of State Netball Team, Competed in Malaysia Youth Games 
- Selected for National Youth Innovation Lab 2023",3.95,3.93,Others,Yes
5/4/2025 12:47,,20,Male,Malaysian,"RM4,851 – RM7,100",8,A-,B,A-,B,A-,None,None,None,A-,A-,B,None,8.04,"- Winner of Malaysia Young Data Scientists Competition 2022 
- Treasurer of Photography Club, Organized Statewide Photojournalism Contest 2023 
- Organizer for Regional Youth Innovation Hackathon 2022 
- Forward Player of State Hockey Team, Champion in National Junior Cup 
- Selected for ASEAN Green Youth Summit 2022
",3.68,3.81,Actuarial Science / Statistics,Yes
5/4/2025 12:49,,23,Male,Malaysian,"RM10,971 – RM15,040",10,B+,B,A-,A,A+,None,A,B,B,A-,None,A,8.5,"- First Place at Junior Environmental Design Fair 2023 
- Vice President of Youth Science Association, Organized Youth Science Olympics 2022 
- Organized Regional Coding for Kids Program 2022 
- Represented State in National Archery Meet 
- Selected for Youth Innovation Exchange Program 2023
",3.56,3.8k,Science & Mathematics,Yes
5/4/2025 12:50,,23,Female,Malaysian,"RM4,851 – RM7,100",11,A,A-,B+,A+,None,B+,A-,A-,B+,B+,A,B,9.37,"- Winner of State Youth AI Challenge 2022 
- Secretary of Literature and Arts Society, Directed Youth Arts Carnival 2023 
- Hosted Environmental Conservation Workshop 2022 
- Represented State in National Rowing Championship 
- Selected for International Environmental Leadership Camp 2022
",3.94,3.59,Accounting,Yes
5/4/2025 12:52,,20,Female,Malaysian,"Above RM15,040",9,A+,A+,B+,B,A,None,A+,None,None,A,A,B+,8.94,"- Champion of Malaysia Future Entrepreneurs League 2022 
- Treasurer of Student Council, Led Campus Sustainability Project 2023 
- Main Organizer of Innovation in Business Competition 2022 
- Vice Captain of State Swimming Team, Gold Medalist at Youth Cup 
- Selected for Global Young Leaders Congress 2023
",3.95,3.52,Actuarial Science / Statistics,Yes
5/4/2025 12:53,,22,Female,Malaysian,"RM10,971 – RM15,040",10,A+,B,B,A,None,A,B,None,B+,A,A,A-,8.58,"- Winner of National Junior Coding Olympiad 2023 
- Vice President of Innovation and Research Club, Organized Tech Ideathon 2022 
- Organized Malaysia Youth Tech Conclave 2022 
- Midfielder of State Soccer Team, Silver Medalist at Junior Games 
- Selected for Global Research Exchange Fellowship 2023
",3.9l,3.57,Economics / Public Policy,Yes
5/4/2025 12:56,,22,Female,Malaysian,"RM10,971 – RM15,040",10,A+,B,B,A,None,A,B,None,B+,A,A,A-,8.58,"- Gold Medalist in Malaysia Junior Chemistry Challenge 2022 
- Secretary of Youth Policy Club, Hosted Civic Awareness Week 2023 
- Organizer of Global Goals Youth Workshop 2022 
- Defender for State Football Team, Competed in Regional Youth Cup 
- Selected for ASEAN Youth Climate Summit 2022
",3.99,3.57,Economics / Public Policy,Yes
5/4/2025 12:58,,22,Female,Malaysian,"Below RM4,850",8,B+,B,A-,B+,B,None,B+,None,None,A-,None,A+,8.27,"- Winner of National Renewable Energy Innovation Award 2023 
- Treasurer of AI and Robotics Club, Directed Regional RoboCon 2022 
- Organized Technology for Sustainability Expo 2022 
- Captain of State Volleyball Team, Runner-Up in Youth Nationals 
- Selected for International Youth Science Forum 2023
",3.75,3.64,"Business, Management & Finance",Yes
5/4/2025 13:06,,22,Male,Malaysian,"RM4,851 – RM7,100",10,A,A-,B+,A-,None,A+,None,B+,A+,A+,A,B+,8.61,"- First Place at State Data Analytics Bootcamp 2022 
- Vice President of Science Explorers Club, Led STEM Wonderfest 2023 
- Coordinator for Regional Youth Business Competition 2022 
- Forward for State Netball Team, Bronze Medal in National Meet 
- Selected for ASEAN Environmental Science Exchange 2023
",3.75,3.68,Economics / Public Policy,Yes
5/4/2025 13:08,,23,Male,Malaysian,"Above RM15,040",11,B,A-,B,A-,B,None,A,A,A,A-,A+,A+,9.44,"- First Place at State Data Analytics Bootcamp 2022 
- Vice President of Science Explorers Club, Led STEM Wonderfest 2023 
- Coordinator for Regional Youth Business Competition 2022 
- Forward for State Netball Team, Bronze Medal in National Meet 
- Selected for ASEAN Environmental Science Exchange 2023
",3.96,3.71,Actuarial Science / Statistics,Yes
5/4/2025 13:10,,21,Female,Malaysian,"Below RM4,850",11,A,B,A,B+,B+,None,A+,B,A+,B,A-,A-,8.94,"- Champion of Malaysia Young Scientists Challenge 2022 
- Secretary of Creative Writing Club, Organized National Essay Contest 2023 
- Organizer of Youth Empowerment Hackathon 2022 
- Striker for State Basketball Team, Semi-finalist at Junior Games 
- Selected for National Youth Environmental Research Program 2022
",3.99,3.51,"Business, Management & Finance",Yes
5/4/2025 13:12,,22,Male,Malaysian,"Below RM4,850",11,A+,A,B,A,B,None,A,B,B,B+,A+,A+,8,"- Gold Medalist at National Environmental Leadership Challenge 2022 
- President of Aerospace Engineering Club, Hosted State Rocket Launch Competition 2023 
- Directed Regional Environmental Science Camp 2022 
- Represented State in National Mountain Bike Championship 
- Selected for International Youth Innovation Exchange 2023
",3.91,3.6h,Law / Legal Studies,Yes
5/4/2025 13:13,,23,Female,Malaysian,"Below RM4,850",9,A,A+,A,A+,A-,None,B,None,A,B+,None,A-,8.19,"- Winner of Malaysia Junior Technovation Contest 2023 
- Vice President of Tech for Humanity Club, Organized Hack for Change 2022 
- Co-organizer of State Youth Digital Skills Fair 2022 
- Represented State at National Badminton Series 
- Selected for ASEAN Young Scientists Forum 2023
",3.84,3.51,"Business, Management & Finance",Yes
5/4/2025 13:15,,22,Female,Malaysian,"RM10,971 – RM15,040",8,A,A-,A+,A,A-,None,None,None,A,A-,None,A-,9.58,"- First Place in Malaysia Young Lawmakers Debate 2022 
- Treasurer of History and Heritage Society, Hosted Cultural Heritage Week 2023 
- Organizer of National Civic Engagement Workshop 2022 
- Goalkeeper for State Handball Team, Champion in Junior Cup 
- Selected for Global Leadership and Policy Camp 2022
",3.85,3.98,Science & Mathematics,Yes
5/4/2025 13:17,,20,Male,Malaysian,"RM10,971 – RM15,040",10,A-,A+,B+,B,A,None,A+,A,A,A+,None,B+,9.21,"- Gold Medalist in Malaysia Junior Eco Challenge 2023 
- President of Entrepreneurship Club, Directed Startup Accelerator Program 2022 
- Hosted Young Entrepreneurs Bootcamp 2022 
- Wing Player for State Basketball Team, Participated in Regional Finals 
- Selected for National Youth Inventors League 2023
",3.76,3.71,Actuarial Science / Statistics,Yes
5/4/2025 13:19,,21,Female,Malaysian,"RM4,851 – RM7,100",9,A,A+,A,A+,B+,None,A-,A-,B,A-,None,None,8.63,"- Winner of Malaysia Young Environmentalists Competition 2022 
- Secretary of Digital Creators Club, Hosted State Multimedia Festival 2023 
- Organized Youth Environmental Action Conference 2022 
- Defender for State Rugby Team, National Runner-up 2023 
- Selected for ASEAN Climate Science Fellowship 2022
",3.7,3.97,Economics / Public Policy,Yes
5/4/2025 13:20,,21,Female,Malaysian,"RM4,851 – RM7,100",11,A+,A+,A-,A+,None,B+,A-,B+,A+,A,A+,B+,9.83,"- Champion at Malaysia National Junior Math Competition 2023 
- Vice President of English Speaking Society, Organized English Carnival 2022 
- Organized State Coding Olympics 2022 
- Represented State at National Swimming Meet 
- Selected for Global Youth Sustainability Project 2023
",3.58,3.55,Actuarial Science / Statistics,Yes
5/4/2025 13:22,,20,Male,Malaysian,"Below RM4,850",11,B,B+,A-,B,B,None,A+,A+,A-,B,B,B,9.07,"- Winner of Malaysia Junior Data Science Hackathon 2022 
- President of Social Innovation Club, Directed Youth Innovation Summit 2023 
- Coordinator for Regional Green Technology Challenge 2022 
- Team Captain for State Table Tennis Team, Finalist at Nationals 
- Selected for UNESCO Youth Science Ambassador Program 2023
",3.59,3.96,Actuarial Science / Statistics,Yes
5/4/2025 16:18,,22,Male,Malaysian,"Above RM15,040",10,A,A,A,B+,A-,None,A-,A,A,A-,B,None,9.66,"- First Place at Malaysia Renewable Energy Youth Challenge 2022 
- Treasurer of Public Speaking Club, Organized Oratory Contest 2023 
- Coordinator of State Youth Digital Future Expo 2022 
- Defender for State Hockey Team, Silver Medalist at Nationals 
- Selected for Global Environmental Youth Exchange 2023
",3.78,3.84,Law / Legal Studies,Yes
5/4/2025 16:20,,21,Female,Malaysian,"Above RM15,040",11,B,B+,A+,A+,A+,None,B,B+,A+,A,B+,B+,9.59,"- Champion of Malaysia Future Innovators League 2023 
- Vice President of Robotics Engineering Society, Led Regional RoboCup 2022 
- Hosted Technology for Humanity Workshop 2022 
- Represented State in National Football Championship 
- Selected for ASEAN Youth Social Innovation Forum 2023
",3.7,3.55,Others,Yes
5/4/2025 16:21,,23,Male,Malaysian,"RM7,101 – RM10,970",10,B,B,A+,A+,None,A,A+,A-,A,A+,None,A-,9.71,"- Champion of Malaysia Future Innovators League 2023 
- Vice President of Robotics Engineering Society, Led Regional RoboCup 2022 
- Hosted Technology for Humanity Workshop 2022 
- Represented State in National Football Championship 
- Selected for ASEAN Youth Social Innovation Forum 2023
",3.56,3.97,Economics / Public Policy,Yes
5/4/2025 16:25,,22,Female,Malaysian,"Below RM4,850",10,A-,A-,B+,A+,B,None,A+,None,A+,A-,A+,A-,8.09,"- Gold Medalist at Malaysia Environmental Art and Design Contest 2022 
- Secretary of Science Literacy Club, Hosted Science Awareness Week 2023 
- Organized Inter-State Technovation Camp 2022 
- Striker for State Football Team, Junior Cup Runner-Up 
- Selected for National Youth Engineering Research Academy 2023
",3.83,3.71,"Business, Management & Finance",Yes
5/4/2025 16:32,,20,Male,Malaysian,"RM7,101 – RM10,970",11,A+,B+,B,A+,None,B+,B,A,B,B+,A-,B,8.88,"- Winner of Malaysia Junior Social Entrepreneurship Competition 2023 
- Treasurer of Sustainable Development Society, Led Green Solutions Forum 2022 
- Main Organizer of State Renewable Energy Summit 2022 
- Represented State at National Cycling Competition 
- Selected for Youth Entrepreneurship Bootcamp 2023
",3.88,3.93,Accounting,Yes
5/4/2025 17:05,,22,Female,Malaysian,"RM10,971 – RM15,040",11,A,B,A,A-,None,A-,A,B,B+,A-,B,A,9.06,"- Champion at National Young Scientists Innovation Challenge 2022 
- Vice President of Young Historians Club, Directed State Heritage Festival 2023 
- Organizer for Future Cities Youth Hackathon 2022 
- Forward Player of State Basketball Team, Bronze Medalist in National Series 
- Selected for ASEAN Global Innovators Exchange Program 2022
",3.95,3.78,Engineering,Yes
5/4/2025 17:07,,22,Female,Malaysian,"RM4,851 – RM7,100",9,A+,B+,A-,B,B,None,A,B,None,B+,A-,None,8.72,"- Gold Medalist in State Mathematics and Computing Olympiad 2022 
- President of Digital Entrepreneurs Club, Hosted StartUp Accelerator 2023 
- Organizer for National Artificial Intelligence Awareness Campaign 2022 
- Represented State in National Fencing Tournament 
- Selected for UNESCO Innovation Scholars Program 2023
",3.57,3.94,Economics / Public Policy,Yes
