Timestamp,Username,1. Age (in January 2025) ,2. Gender,3. Citizenship Status,4. What is your household's monthly income range?  ,5. Number of SPM subjects,6. Grades for each core SPM subjects  [Bahasa Melayu],6. Grades for each core SPM subjects  [Bahasa Inggeris],6. Grades for each core SPM subjects  [Sejarah],6. Grades for each core SPM subjects  [Matematik],"7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Islam]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Moral]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Matematik Tambahan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Fizik]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Kimia]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Biologi]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Prinsip Perakaunan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Ekonomi]",8. PAJSK Score (range: 0.00 – 10.00),"9. Top 5 Co-curricular Highest Achievements

Example:
- Gold Medalist in the International Mathematics Olympiad (IMO) 2023
- President of the Science & Innovation Club, Organized National STEM Fair 2022
- Captain of the State Football Team, Represented Malaysia in ASEAN Youth Championship
(Please continue in this format until you have listed 5 achievements.)","10. What is your CGPA for your pre-university program?
(e.g., Diploma, Foundation, Matrikulasi, or STPM)

Example: 
3.96","11. What is your CGPA for your first semester in degree study? 

Example: 
3.96  ",12. What is your current field of study?,"13. Are you currently receiving a merit-based scholarship (not a loan or PTPTN)?
(e.g., JPA, university excellence scholarship, state foundation scholarships, etc)"
2025/05/04 12:42:45 PM GMT+8,,20,Female,Malaysian,"RM7,101 - RM10,970",8,A-,A-,B,A+,B,None,A,None,None,B+,None,A,9.71,"; Champion of Environmental Tech Design Challenge 2022 
; Vice President of International Affairs Club, Led Model United Nations 2023 
; Organizer for STEM Adventure Camp 2022 
; Team Member of State Fencing Team, Youth National Finalist 
; Selected for ASEAN Youth Digital Fellowship 2022
",3.81,3.78,Economics / Public Policy,Yes
2025/05/04 12:46:06 PM GMT+8,,23,Male,Malaysian,"Above RM15,040",11,A,B+,B,B,A,None,B,A+,A+,A-,A+,A-,8.16,"; Gold Medalist in National Junior Astronomy Olympiad 2022 
; Secretary of Young Entrepreneurs Network, Organized Startup Ideation Week 2023 
; Hosted Tech Empowerment Bootcamp 2022 
; Striker of State Netball Team, Competed in Malaysia Youth Games 
; Selected for National Youth Innovation Lab 2023",3.95,3.93,Others,Yes
2025/05/04 12:47:37 PM GMT+8,,20,Male,Malaysian,"RM4,851 - RM7,100",8,A-,B,A-,B,A-,None,None,None,A-,A-,B,None,8.04,"; Winner of Malaysia Young Data Scientists Competition 2022 
; Treasurer of Photography Club, Organized Statewide Photojournalism Contest 2023 
; Organizer for Regional Youth Innovation Hackathon 2022 
; Forward Player of State Hockey Team, Champion in National Junior Cup 
; Selected for ASEAN Green Youth Summit 2022
",3.68,3.81,Actuarial Science / Statistics,Yes
2025/05/04 12:49:02 PM GMT+8,,23,Male,Malaysian,"RM10,971 - RM15,040",10,B+,B,A-,A,A+,None,A,B,B,A-,None,A,8.5,"; First Place at Junior Environmental Design Fair 2023 
; Vice President of Youth Science Association, Organized Youth Science Olympics 2022 
; Organized Regional Coding for Kids Program 2022 
; Represented State in National Archery Meet 
; Selected for Youth Innovation Exchange Program 2023
",3.56,3.8,Science & Mathematics,Yes
2025/05/04 12:50:52 PM GMT+8,,23,Female,Malaysian,"RM4,851 - RM7,100",11,A,A-,B+,A+,None,B+,A-,A-,B+,B+,A,B,9.37,"; Winner of State Youth AI Challenge 2022 
; Secretary of Literature and Arts Society, Directed Youth Arts Carnival 2023 
; Hosted Environmental Conservation Workshop 2022 
; Represented State in National Rowing Championship 
; Selected for International Environmental Leadership Camp 2022
",3.94,3.59,Accounting,Yes
2025/05/04 12:52:26 PM GMT+8,,20,Female,Malaysian,"Above RM15,040",9,A+,A+,B+,B,A,None,A+,None,None,A,A,B+,8.94,"; Champion of Malaysia Future Entrepreneurs League 2022 
; Treasurer of Student Council, Led Campus Sustainability Project 2023 
; Main Organizer of Innovation in Business Competition 2022 
; Vice Captain of State Swimming Team, Gold Medalist at Youth Cup 
; Selected for Global Young Leaders Congress 2023
",3.95,3.52,Actuarial Science / Statistics,Yes
2025/05/04 12:53:58 PM GMT+8,,22,Female,Malaysian,"RM10,971 - RM15,040",10,A+,B,B,A,None,A,B,None,B+,A,A,A-,8.58,"; Winner of National Junior Coding Olympiad 2023 
; Vice President of Innovation and Research Club, Organized Tech Ideathon 2022 
; Organized Malaysia Youth Tech Conclave 2022 
; Midfielder of State Soccer Team, Silver Medalist at Junior Games 
; Selected for Global Research Exchange Fellowship 2023
",3.9,3.57,Economics / Public Policy,Yes
2025/05/04 12:56:53 PM GMT+8,,22,Female,Malaysian,"RM10,971 - RM15,040",10,A+,B,B,A,None,A,B,None,B+,A,A,A-,8.58,"; Gold Medalist in Malaysia Junior Chemistry Challenge 2022 
; Secretary of Youth Policy Club, Hosted Civic Awareness Week 2023 
; Organizer of Global Goals Youth Workshop 2022 
; Defender for State Football Team, Competed in Regional Youth Cup 
; Selected for ASEAN Youth Climate Summit 2022
",3.99,3.57,Economics / Public Policy,Yes
2025/05/04 12:58:26 PM GMT+8,,22,Female,Malaysian,"Below RM4,850",8,B+,B,A-,B+,B,None,B+,None,None,A-,None,A+,8.27,"; Winner of National Renewable Energy Innovation Award 2023 
; Treasurer of AI and Robotics Club, Directed Regional RoboCon 2022 
; Organized Technology for Sustainability Expo 2022 
; Captain of State Volleyball Team, Runner-Up in Youth Nationals 
; Selected for International Youth Science Forum 2023
",3.75,3.64,"Business, Management & Finance",Yes
2025/05/04 1:06:20 PM GMT+8,,22,Male,Malaysian,"RM4,851 - RM7,100",10,A,A-,B+,A-,None,A+,None,B+,A+,A+,A,B+,8.61,"; First Place at State Data Analytics Bootcamp 2022 
; Vice President of Science Explorers Club, Led STEM Wonderfest 2023 
; Coordinator for Regional Youth Business Competition 2022 
; Forward for State Netball Team, Bronze Medal in National Meet 
; Selected for ASEAN Environmental Science Exchange 2023
",3.75,3.68,Economics / Public Policy,Yes
2025/05/04 1:08:56 PM GMT+8,,23,Male,Malaysian,"Above RM15,040",11,B,A-,B,A-,B,None,A,A,A,A-,A+,A+,9.44,"; First Place at State Data Analytics Bootcamp 2022 
; Vice President of Science Explorers Club, Led STEM Wonderfest 2023 
; Coordinator for Regional Youth Business Competition 2022 
; Forward for State Netball Team, Bronze Medal in National Meet 
; Selected for ASEAN Environmental Science Exchange 2023
",3.96,3.71,Actuarial Science / Statistics,Yes
2025/05/04 1:10:43 PM GMT+8,,21,Female,Malaysian,"Below RM4,850",11,A,B,A,B+,B+,None,A+,B,A+,B,A-,A-,8.94,"; Champion of Malaysia Young Scientists Challenge 2022 
; Secretary of Creative Writing Club, Organized National Essay Contest 2023 
; Organizer of Youth Empowerment Hackathon 2022 
; Striker for State Basketball Team, Semi-finalist at Junior Games 
; Selected for National Youth Environmental Research Program 2022
",3.99,3.51,"Business, Management & Finance",Yes
2025/05/04 1:12:10 PM GMT+8,,22,Male,Malaysian,"Below RM4,850",11,A+,A,B,A,B,None,A,B,B,B+,A+,A+,8,"; Gold Medalist at National Environmental Leadership Challenge 2022 
; President of Aerospace Engineering Club, Hosted State Rocket Launch Competition 2023 
; Directed Regional Environmental Science Camp 2022 
; Represented State in National Mountain Bike Championship 
; Selected for International Youth Innovation Exchange 2023
",3.91,3.6,Law / Legal Studies,Yes
2025/05/04 1:13:44 PM GMT+8,,23,Female,Malaysian,"Below RM4,850",9,A,A+,A,A+,A-,None,B,None,A,B+,None,A-,8.19,"; Winner of Malaysia Junior Technovation Contest 2023 
; Vice President of Tech for Humanity Club, Organized Hack for Change 2022 
; Co-organizer of State Youth Digital Skills Fair 2022 
; Represented State at National Badminton Series 
; Selected for ASEAN Young Scientists Forum 2023
",3.84,3.51,"Business, Management & Finance",Yes
2025/05/04 1:15:26 PM GMT+8,,22,Female,Malaysian,"RM10,971 - RM15,040",8,A,A-,A+,A,A-,None,None,None,A,A-,None,A-,9.58,"; First Place in Malaysia Young Lawmakers Debate 2022 
; Treasurer of History and Heritage Society, Hosted Cultural Heritage Week 2023 
; Organizer of National Civic Engagement Workshop 2022 
; Goalkeeper for State Handball Team, Champion in Junior Cup 
; Selected for Global Leadership and Policy Camp 2022
",3.85,3.98,Science & Mathematics,Yes
2025/05/04 1:17:52 PM GMT+8,,20,Male,Malaysian,"RM10,971 - RM15,040",10,A-,A+,B+,B,A,None,A+,A,A,A+,None,B+,9.21,"; Gold Medalist in Malaysia Junior Eco Challenge 2023 
; President of Entrepreneurship Club, Directed Startup Accelerator Program 2022 
; Hosted Young Entrepreneurs Bootcamp 2022 
; Wing Player for State Basketball Team, Participated in Regional Finals 
; Selected for National Youth Inventors League 2023
",3.76,3.71,Actuarial Science / Statistics,Yes
2025/05/04 1:19:28 PM GMT+8,,21,Female,Malaysian,"RM4,851 - RM7,100",9,A,A+,A,A+,B+,None,A-,A-,B,A-,None,None,8.63,"; Winner of Malaysia Young Environmentalists Competition 2022 
; Secretary of Digital Creators Club, Hosted State Multimedia Festival 2023 
; Organized Youth Environmental Action Conference 2022 
; Defender for State Rugby Team, National Runner-up 2023 
; Selected for ASEAN Climate Science Fellowship 2022
",3.7,3.97,Economics / Public Policy,Yes
2025/05/04 1:20:54 PM GMT+8,,21,Female,Malaysian,"RM4,851 - RM7,100",11,A+,A+,A-,A+,None,B+,A-,B+,A+,A,A+,B+,9.83,"; Champion at Malaysia National Junior Math Competition 2023 
; Vice President of English Speaking Society, Organized English Carnival 2022 
; Organized State Coding Olympics 2022 
; Represented State at National Swimming Meet 
; Selected for Global Youth Sustainability Project 2023
",3.58,3.55,Actuarial Science / Statistics,Yes
2025/05/04 1:22:55 PM GMT+8,,20,Male,Malaysian,"Below RM4,850",11,B,B+,A-,B,B,None,A+,A+,A-,B,B,B,9.07,"; Winner of Malaysia Junior Data Science Hackathon 2022 
; President of Social Innovation Club, Directed Youth Innovation Summit 2023 
; Coordinator for Regional Green Technology Challenge 2022 
; Team Captain for State Table Tennis Team, Finalist at Nationals 
; Selected for UNESCO Youth Science Ambassador Program 2023
",3.59,3.96,Actuarial Science / Statistics,Yes
2025/05/04 4:18:50 PM GMT+8,,22,Male,Malaysian,"Above RM15,040",10,A,A,A,B+,A-,None,A-,A,A,A-,B,None,9.66,"; First Place at Malaysia Renewable Energy Youth Challenge 2022 
; Treasurer of Public Speaking Club, Organized Oratory Contest 2023 
; Coordinator of State Youth Digital Future Expo 2022 
; Defender for State Hockey Team, Silver Medalist at Nationals 
; Selected for Global Environmental Youth Exchange 2023
",3.78,3.84,Law / Legal Studies,Yes
2025/05/04 4:20:08 PM GMT+8,,21,Female,Malaysian,"Above RM15,040",11,B,B+,A+,A+,A+,None,B,B+,A+,A,B+,B+,9.59,"; Champion of Malaysia Future Innovators League 2023 
; Vice President of Robotics Engineering Society, Led Regional RoboCup 2022 
; Hosted Technology for Humanity Workshop 2022 
; Represented State in National Football Championship 
; Selected for ASEAN Youth Social Innovation Forum 2023
",3.7,3.55,Others,Yes
2025/05/04 4:21:34 PM GMT+8,,23,Male,Malaysian,"RM7,101 - RM10,970",10,B,B,A+,A+,None,A,A+,A-,A,A+,None,A-,9.71,"; Champion of Malaysia Future Innovators League 2023 
; Vice President of Robotics Engineering Society, Led Regional RoboCup 2022 
; Hosted Technology for Humanity Workshop 2022 
; Represented State in National Football Championship 
; Selected for ASEAN Youth Social Innovation Forum 2023
",3.56,3.97,Economics / Public Policy,Yes
2025/05/04 4:25:55 PM GMT+8,,22,Female,Malaysian,"Below RM4,850",10,A-,A-,B+,A+,B,None,A+,None,A+,A-,A+,A-,8.09,"; Gold Medalist at Malaysia Environmental Art and Design Contest 2022 
; Secretary of Science Literacy Club, Hosted Science Awareness Week 2023 
; Organized Inter-State Technovation Camp 2022 
; Striker for State Football Team, Junior Cup Runner-Up 
; Selected for National Youth Engineering Research Academy 2023
",3.83,3.71,"Business, Management & Finance",Yes
2025/05/04 4:32:57 PM GMT+8,,20,Male,Malaysian,"RM7,101 - RM10,970",11,A+,B+,B,A+,None,B+,B,A,B,B+,A-,B,8.88,"; Winner of Malaysia Junior Social Entrepreneurship Competition 2023 
; Treasurer of Sustainable Development Society, Led Green Solutions Forum 2022 
; Main Organizer of State Renewable Energy Summit 2022 
; Represented State at National Cycling Competition 
; Selected for Youth Entrepreneurship Bootcamp 2023
",3.88,3.93,Accounting,Yes
2025/05/04 5:05:47 PM GMT+8,,22,Female,Malaysian,"RM10,971 - RM15,040",11,A,B,A,A-,None,A-,A,B,B+,A-,B,A,9.06,"; Champion at National Young Scientists Innovation Challenge 2022 
; Vice President of Young Historians Club, Directed State Heritage Festival 2023 
; Organizer for Future Cities Youth Hackathon 2022 
; Forward Player of State Basketball Team, Bronze Medalist in National Series 
; Selected for ASEAN Global Innovators Exchange Program 2022
",3.95,3.78,Engineering,Yes
2025/05/04 5:07:54 PM GMT+8,,22,Female,Malaysian,"RM4,851 - RM7,100",9,A+,B+,A-,B,B,None,A,B,None,B+,A-,None,8.72,"; Gold Medalist in State Mathematics and Computing Olympiad 2022 
; President of Digital Entrepreneurs Club, Hosted StartUp Accelerator 2023 
; Organizer for National Artificial Intelligence Awareness Campaign 2022 
; Represented State in National Fencing Tournament 
; Selected for UNESCO Innovation Scholars Program 2023
",3.57,3.94,Economics / Public Policy,Yes
2025/05/04 5:09:19 PM GMT+8,,22,Female,Malaysian,"RM7,101 - RM10,970",8,A,A+,B,B+,B,None,None,A-,None,B+,None,A,9.73,"; Winner of Malaysia Energy Conservation Challenge 2022 
; Secretary of Performing Arts Club, Hosted Performing Arts Night 2023 
; Organized Youth Climate Change Forum 2022 
; Captain of State Handball Team, Finalist at National Games 
; Selected for Global Science Youth Research Exchange 2023
",3.59,3.51,Actuarial Science / Statistics,Yes
2025/05/04 5:10:44 PM GMT+8,,22,Female,Malaysian,"RM10,971 - RM15,040",11,B+,A+,A+,A-,A,None,A-,A,A-,B,A+,A+,9.28,"; Champion at Junior Data Innovation Competition 2023 
; Treasurer of Astronomy Enthusiasts Club, Led Astronomy Education Week 2022 
; Organizer for STEM Careers Youth Fair 2022 
; Defender for State Rugby Team, Competed at Youth National League 
; Selected for International Sustainable Energy Camp 2022
",3.63,3.53,Engineering,Yes
2025/05/04 5:11:56 PM GMT+8,,22,Female,Malaysian,"Below RM4,850",11,B+,B+,A+,A+,A+,None,B+,B+,A-,A-,A+,B+,9.17,"; Winner of Malaysia National Tech Entrepreneurship Challenge 2022 
; Vice President of Culinary Club, Directed State Food Innovation Expo 2023 
; Hosted Green Energy Youth Challenge 2022 
; Represented State at National Canoeing Championship 
; Selected for Global Future Leaders Fellowship 2023
",3.87,3.98,Science & Mathematics,Yes
2025/05/04 5:13:26 PM GMT+8,,22,Female,Malaysian,"RM10,971 - RM15,040",11,A+,A-,A-,A-,None,A,B+,A,A+,B,A+,B,8.32,"; First Place in Malaysia Youth Agricultural Innovation Contest 2022 
; Secretary of Eco Warriors Club, Organized Earth Sustainability Summit 2023 
; Organizer of Science for All Conference 2022 
; Team Captain for State Volleyball Team, Finalist in Youth Games 
; Selected for ASEAN Youth Research Exchange Program 2022
",3.97,3.8,Accounting,Yes
2025/05/04 5:15:08 PM GMT+8,,22,Female,Malaysian,"RM10,971 - RM15,040",10,B,A-,B+,A+,B+,None,B+,None,A,B+,A,A+,8.3,"; Gold Medalist in National STEM Challenge 2022 
; President of Young Journalists Society, Hosted Youth Journalism Forum 2023 
; Organizer for National Literacy and STEM Integration Workshop 2022 
; Represented State at National Swimming League 
; Selected for UNESCO Future Scientists Fellowship 2023

",3.89,3.59,Accounting,Yes
2025/05/04 5:18:20 PM GMT+8,,23,Male,Malaysian,"RM7,101 - RM10,970",10,A-,B,B,A,None,A+,A,A-,None,A+,A-,A-,8.26,"; Winner of National Environmental Innovation Hackathon 2023 
; Vice President of Volunteer Service Club, Directed Community Action Week 2022 
; Organized Green Youth Initiative 2022 
; Striker for State Basketball Team, National Games Participant 
; Selected for ASEAN Emerging Youth Leaders Program 2023
",3.81,3.88,Science & Mathematics,Yes
2025/05/04 5:19:48 PM GMT+8,,23,Male,Malaysian,"RM7,101 - RM10,970",10,A+,B+,B+,A,A+,None,A+,None,B+,A,A+,A,8.58,"; Champion of State Entrepreneurship Innovation Challenge 2022 
; Secretary of Film and Media Club, Hosted National Short Film Festival 2023 
; Directed Regional Youth Tech Bootcamp 2022 
; Represented State in National Handball Championship 
; Selected for Asia Youth Digital Changemakers Program 2022
",3.86,3.79,"Business, Management & Finance",Yes
2025/05/04 5:21:24 PM GMT+8,,23,Female,Malaysian,"RM4,851 - RM7,100",10,A+,B,B,B,None,B,None,B+,B,A,A,A+,8.45,"; Gold Medalist in Malaysia Youth Creative Technology Competition 2022 
; Treasurer of Social Impact Club, Led Youth Volunteer Empowerment 2023 
; Hosted STEM for Society Hackathon 2022 
; Wing Defender for State Hockey Team, Runner-up in Junior League 
; Selected for Global Entrepreneurship Youth Exchange 2023
",3.59,3.94,Economics / Public Policy,Yes
2025/05/04 5:23:02 PM GMT+8,,20,Male,Malaysian,"Above RM15,040",8,B+,A+,A,B+,A+,None,A-,A+,None,B+,None,None,9.61,"; Winner of Malaysia Eco Innovators League 2022 
; Vice President of Debate and Diplomacy Club, Organized State MUN Conference 2023 
; Organizer for ASEAN Future Skills Challenge 2022 
; Represented State at National Crossfit Youth Games 
; Selected for International Global Youth Peace Summit 2023
",3.84,3.55,"Business, Management & Finance",Yes
2025/05/04 5:24:36 PM GMT+8,,22,Female,Malaysian,"Above RM15,040",9,B+,B,A,B,A-,None,None,None,A,A,B+,B,9.02,"; Champion at National Engineering Robotics Tournament 2023 
; Secretary of AI in Education Club, Hosted EdTech Innovators Challenge 2022 
; Organizer of Youth Water Sustainability Conference 2022 
; Defender of State Netball Team, Youth Games Bronze Medalist 
; Selected for UNESCO Global Youth Energy Exchange 2023
",3.81,3.58,Actuarial Science / Statistics,Yes
2025/05/04 5:25:52 PM GMT+8,,23,Female,Malaysian,"Below RM4,850",9,A-,A-,B+,B,None,A,None,None,B,A+,A,A,9.69,"; Winner of State Space Science Competition 2022 
; Treasurer of Political Science Club, Led State Mock Parliament 2023 
; Hosted Youth in Politics Symposium 2022 
; Represented State at National Kayaking Competition 
; Selected for ASEAN Leadership Innovation Camp 2022
",3.85,3.64,"Business, Management & Finance",Yes
2025/05/04 5:27:14 PM GMT+8,,21,Female,Malaysian,"Below RM4,850",11,B+,A-,A+,B+,B,None,B,A-,A-,B,B,A-,9.3,"; Gold Medalist in State Computer Programming Olympiad 2023 
; Vice President of Renewable Energy Club, Organized Solar Innovation Day 2022 
; Organizer of Eco Youth Innovation Bootcamp 2022 
; Captain of State Table Tennis Team, Champion at National Games 
; Selected for International Green Innovators Academy 2023
",3.7,3.99,Economics / Public Policy,Yes
2025/05/04 5:28:44 PM GMT+8,,22,Female,Malaysian,"RM4,851 - RM7,100",10,A-,A+,B,B,B+,None,B+,B,B+,A+,A-,None,9.58,"; Winner of National Green Energy Design Competition 2022 
; President of Biotechnology Club, Hosted BioInnovation Expo 2023 
; Coordinator of Regional Youth Clean Energy Fair 2022 
; Striker for State Rugby Team, National Bronze Medalist 
; Selected for Global Young Scientists Summit 2023
",3.77,3.64,Accounting,Yes
2025/05/04 5:35:55 PM GMT+8,,20,Male,Malaysian,"Above RM15,040",11,B,B,B,B,None,B,A,B,B,A-,A-,A+,9.23,"; Champion of Malaysia National Robotics Challenge 2022 
; Secretary of Aerospace Club, Hosted Youth Rocket Launch Competition 2023 
; Organizer of Future Innovators Bootcamp 2022 
; Represented State in National Sailing Championship 
; Selected for ASEAN Young Tech Leaders Exchange 2023
",3.67,3.52,Science & Mathematics,Yes
2025/05/04 5:37:29 PM GMT+8,,22,Male,Malaysian,"RM7,101 - RM10,970",10,A,A,A,A+,None,B+,None,A+,B,B,B+,A,9.79,"; Winner of State Renewable Energy Competition 2023 
; Vice President of Environmental Awareness Club, Organized Eco-Sustainability Summit 2022 
; Directed National Youth Technovation Fair 2022 
; Goalkeeper for State Football Team, Reached Semi-Finals in Youth Cup 
; Selected for UNESCO Science Youth Leaders Fellowship 2023
",3.74,3.58,Economics / Public Policy,Yes
2025/05/04 5:39:04 PM GMT+8,,21,Male,Malaysian,"Above RM15,040",9,A+,B,A-,A+,B+,None,None,B+,A+,A+,None,A,8.53,"; Gold Medalist in Junior AI Challenge Malaysia 2022 
; President of Business and Innovation Club, Led State StartUp Conference 2023 
; Organizer of Regional Youth Entrepreneurship Workshop 2022 
; Captain of State Swimming Team, Winner of Junior Nationals 
; Selected for Global Green Leaders Program 2022
",3.61,3.71,"Business, Management & Finance",Yes
2025/05/04 5:42:09 PM GMT+8,,21,Male,Malaysian,"RM10,971 - RM15,040",8,B,A,B,A,A-,None,B,None,None,B,A-,None,9.88,"; Winner of Malaysia Junior Engineering Hackathon 2023 
; Secretary of Literature Enthusiasts Club, Hosted National Poetry Competition 2022 
; Organizer of Youth Digital Literacy Camp 2022 
; Striker of State Hockey Team, Silver Medalist in Youth Games 
; Selected for ASEAN Youth Leadership Forum 2023
",3.92,3.78,"Business, Management & Finance",Yes
2025/05/04 5:43:31 PM GMT+8,,20,Female,Malaysian,"RM4,851 - RM7,100",11,A+,B+,A-,A-,None,B+,B,B+,B,B+,B+,A-,9.46,"; Champion of National Young Scientists Tech Expo 2022 
; Treasurer of Civic and Governance Club, Directed Civic Engagement Week 2023 
; Hosted Future Scientists Innovation Day 2022 
; Represented State at National Badminton Tournament 
; Selected for International Youth Inventors Exchange 2023
",3.57,3.63,Economics / Public Policy,Yes
2025/05/04 5:44:54 PM GMT+8,,23,Female,Malaysian,"Above RM15,040",10,A-,A+,B+,A-,B+,None,A-,B+,A-,A+,None,B,8.25,"; Winner of Malaysia Junior Environmental Policy Debate 2022 
; Vice President of Performing Arts Club, Led National Talent Show 2023 
; Organized STEM-for-Community Hackathon 2022 
; Midfielder for State Handball Team, Quarter-finalist at Nationals 
; Selected for National Young Technopreneurs Camp 2023
",3.99,3.58,Actuarial Science / Statistics,Yes
2025/05/04 5:48:23 PM GMT+8,,20,Female,Malaysian,"Below RM4,850",11,A+,B+,A+,B+,None,A,A,B+,A+,A+,B+,A-,8.5,"; First Place at Malaysia Youth Sustainable Tech Competition 2023 
; President of Data Science Society, Hosted Youth DataCamp 2022 
; Organizer of Smart Cities Youth Challenge 2022 
; Defender for State Basketball Team, Participated in Junior Nationals 
; Selected for ASEAN Eco-Youth Innovation Lab 2023
",3.76,3.83,Economics / Public Policy,Yes
2025/05/04 5:51:21 PM GMT+8,,21,Male,Malaysian,"Above RM15,040",10,B+,A-,A,A-,B+,None,A,B+,None,B,B+,A+,8.35,"; Gold Medalist at National Mathematics and AI Olympiad 2022 
; Treasurer of Startup and Business Club, Organized Regional StartUp Fest 2023 
; Hosted Youth Environmental Protection Workshop 2022 
; Wing Player of State Netball Team, Finalist at State Games 
; Selected for Global Youth Science Exchange Program 2022
",3.99,3.58,Economics / Public Policy,Yes
2025/05/04 5:52:51 PM GMT+8,,21,Female,Malaysian,"RM10,971 - RM15,040",9,A+,A-,A+,A-,B+,None,None,B+,None,A-,B,B,9.49,"; Winner of Malaysia Young Tech Entrepreneurs Competition 2022 
; Secretary of Youth Leaders Association, Organized Youth Empowerment Carnival 2023 
; Directed STEM-for-Change Conference 2022 
; Captain of State Basketball Team, National Series Participant 
; Selected for UNESCO Next Generation Innovators Program 2023
",3.85,3.99,Actuarial Science / Statistics,Yes
2025/05/04 5:54:12 PM GMT+8,,23,Male,Malaysian,"Above RM15,040",10,B+,A,B,A-,B,None,A+,A-,A+,A-,B,None,8.07,"; Champion of Malaysia Junior Cybersecurity Hackathon 2023 
; Vice President of Law and Human Rights Club, Hosted Youth Rights Awareness Week 2022 
; Organizer of Youth Civic Responsibility Challenge 2022 
; Represented State in National Athletics Tournament 
; Selected for ASEAN Future Technology Scholars Program 2023
",3.99,3.72,Economics / Public Policy,Yes
2025/05/04 5:55:40 PM GMT+8,,23,Female,Malaysian,"Below RM4,850",10,A+,A,A,B,None,B,None,A-,B+,B,B,B+,8.33,"; Gold Medalist in Malaysia Young Environmental Designers Challenge 2022 
; Treasurer of Future Architects Society, Hosted Design Innovation Fair 2023 
; Organized Smart Energy for Youth Conference 2022 
; Forward for State Football Team, Semi-Finalist at Junior Cup 
; Selected for Global Eco-Innovation Exchange 2023
",3.58,3.79,Actuarial Science / Statistics,Yes
2025/05/04 5:57:08 PM GMT+8,,21,Male,Malaysian,"Above RM15,040",10,B+,A-,B,B+,B+,None,None,A-,A+,A+,A+,B+,8.17,"; Winner of National Junior Clean Energy Hackathon 2023 
; Secretary of Youth Innovation Council, Organized TechFuture Workshop 2022 
; Main Organizer of State Science Exploration Festival 2022 
; Represented State in National Martial Arts Championship 
; Selected for ASEAN Sustainable Youth Leaders Fellowship 2023
",3.52,3.77,Others,Yes
2025/05/04 5:58:43 PM GMT+8,,21,Female,Malaysian,"RM10,971 - RM15,040",10,B,A-,B+,A,None,A,B,A,A-,A,None,B,8.58,"; Champion of Malaysia National Future Entrepreneurs League 2022 
; President of Journalism and Media Club, Directed National Media Youth Day 2023 
; Organizer of Future Skills for Youth Summit 2022 
; Defender for State Basketball Team, Participated in Youth National Cup 
; Selected for International Environmental Future Leaders Program 2023
",3.99,3.91,"Business, Management & Finance",Yes
2025/05/04 6:00:36 PM GMT+8,,22,Female,Malaysian,"RM4,851 - RM7,100",9,A,B+,B+,A,A,None,None,B+,B,B,None,A-,9.13,"; Gold Medalist at Malaysia Junior Technological Innovations Fair 2023 
; Vice President of Young Economists Society, Hosted Regional Youth Economy Forum 2022 
; Organizer of Science Innovation Carnival 2022 
; Wing Player for State Volleyball Team, Champion at State Level 
; Selected for UNESCO Youth Sustainable Future Fellowship 2023
",3.76,3.69,Accounting,Yes
2025/05/04 6:02:10 PM GMT+8,,23,Male,Malaysian,"RM10,971 - RM15,040",10,A+,B,A,A,None,A+,A,None,B,A-,A,A,9.42,"; Winner of Malaysia Environmental Impact Innovation Challenge 2022 
; Secretary of Robotics for Good Club, Led Tech for Humanity Expo 2023 
; Organized Youth Disaster Response Hackathon 2022 
; Represented State at National Basketball League 
; Selected for Global Sustainable Development Youth Program 2022
",3.66,3.73,Science & Mathematics,Yes
2025/05/04 6:05:12 PM GMT+8,,23,Male,Malaysian,"Below RM4,850",8,A+,B,B,B+,A+,None,None,A+,B,A,None,None,8.26,"; First Place at Malaysia Renewable Energy Youth Challenge 2022 
; President of Young Environmental Activists Club, Hosted EcoYouth Action Day 2023 
; Organized State-wide Science for Climate Change Event 2022 
; Captain of State Handball Team, Runner-up at Junior National Cup 
; Selected for ASEAN Youth Technovators Camp 2023
",3.89,3.6,Science & Mathematics,Yes
2025/05/04 6:06:31 PM GMT+8,,21,Male,Malaysian,"Below RM4,850",9,A+,B,A-,B,None,A+,B,None,B+,A-,A-,None,8.58,"; Champion of Malaysia National Youth Eco-Innovation Contest 2023 
; Vice President of Business Leaders Club, Organized Business Ideathon 2022 
; Organizer for Science Entrepreneurship Week 2022 
; Striker for State Soccer Team, Qualified for National Finals 
; Selected for Global Future Scientists Exchange 2023
",3.68,3.57,Economics / Public Policy,Yes
